Location,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Wrap,Cost,Reviewer,Rec,overall
lucha libre north park,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,7.5,erik,Yes,3.0
lucha libre north park,4.5,3.5,4.0,4.5,4.0,3.5,3.5,4.0,4.5,7.5,ricardo,Yes,4.25
lucha libre north park,2.0,4.0,5.0,5.0,4.0,4.5,4.5,5.0,4.0,7.5,erin,Yes,4.5
lucha libre north park,4.0,3.5,2.5,3.0,4.5,3.0,2.0,5.0,3.5,7.5,kelsey,Yes,2.5
lucha libre north park,3.0,3.5,5.0,3.5,4.0,3.0,3.0,4.0,5.0,7.5,javier,No,3.0
lucha libre north park,5.0,3.5,2.0,3.5,3.5,3.0,4.0,2.0,4.0,7.5,sam a,Yes,3.5
lucha libre north park,3.0,2.5,2.5,3.0,2.0,2.0,1.0,5.0,5.0,7.5,sage,No,1.5
lucha libre north park,4.0,5.0,3.0,5.0,5.0,3.0,2.0,2.0,5.0,7.5,aaron s,Yes,4.0
lucha libre north park,5.0,5.0,4.0,2.0,1.0,4.0,3.0,5.0,2.0,7.5,jaeyoung,No,2.0
lucha libre north park,4.5,4.0,4.0,3.5,4.5,4.0,4.0,5.0,4.0,7.5,matteo,Yes,4.0
cancun mexican & seafood,3.0,4.0,5.0,3.5,3.0,3.5,3.5,4.0,4.0,6.45,scott,Yes,3.5
cancun mexican & seafood,4.0,3.0,4.5,4.0,4.0,3.5,3.0,4.0,5.0,6.99,emily,Yes,4.0
roberto's taco shop clairemont,4.0,3.0,4.5,4.0,4.0,4.0,5.0,2.5,5.0,5.79,scott,Yes,3.6
roberto's taco shop clairemont,4.0,4.0,3.0,4.0,2.5,3.5,4.0,2.0,5.0,5.79,benni,No,3.0
roberto's taco shop clairemont,3.7,3.8,4.7,4.0,3.5,4.5,4.0,4.0,5.0,7.29,luis,Yes,4.0
roberto's taco shop clairemont,3.0,4.0,3.0,1.5,3.0,4.0,4.5,3.5,4.5,5.69,ricardo,No,3.0
taco stand,4.0,4.5,4.0,4.5,4.5,4.5,4.5,4.5,4.0,6.99,mike,Yes,4.5
taco stand,4.1,4.0,4.5,4.5,4.5,4.7,4.5,4.2,5.0,7.49,luis,Yes,4.7
los tacos,3.5,4.0,5.0,4.0,4.0,3.0,4.0,3.5,4.0,7.9,scott,Yes,4.2
los tacos,3.5,4.0,3.5,4.5,4.5,3.5,3.5,3.5,3.0,7.9,emily,Yes,4.3
el cuervo,3.5,3.5,3.5,3.0,4.0,3.0,3.0,4.5,2.0,6.95,scott,Yes,3.6
el cuervo,4.0,3.5,5.0,4.5,3.5,4.0,4.5,4.5,5.0,5.95,richard,Yes,4.0
el torrito foods,4.0,3.0,5.0,3.0,3.0,2.5,4.0,3.5,5.0,5.49,scott,Yes,3.1
el torrito foods,4.5,3.5,4.0,3.0,2.5,2.8,4.0,2.5,5.0,3.99,emily,No,2.6
la morena taco shop and seafood,4.0,4.0,2.5,4.0,3.0,4.5,2.0,2.0,4.0,6.35,erin,No,3.0
taco villa,2.5,3.2,3.8,4.5,2.8,4.0,2.0,1.8,5.0,5.99,scott,Yes,4.0
rigoberto's taco shop,4.5,3.5,4.5,2.5,2.5,1.0,1.5,3.0,3.0,7.65,scott,No,2.7
rigoberto's taco shop,3.5,4.0,4.5,4.0,4.0,4.5,5.0,4.5,4.5,6.6,ricardo,Yes,4.25
rigoberto's taco shop,3.0,4.0,4.0,5.0,5.0,4.5,3.0,2.0,4.0,6.6,elynn,Yes,4.0
taco villa,4.0,3.5,3.5,2.0,3.0,4.5,4.5,3.0,5.0,5.99,scott,No,3.2
valentines mexican food,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,2.5,7.9,scott,Yes,4.2
valentines mexican food,3.0,4.0,4.0,3.5,4.5,4.0,3.5,2.5,1.5,7.9,emily,Yes,4.0
matador mexican food,3.2,1.4,3.7,3.0,3.2,4.8,2.4,3.0,3.0,6.6,scott,No,3.0
matador mexican food,4.0,4.0,3.5,3.5,3.5,4.0,3.0,3.5,4.5,6.6,brent,No,3.0
jose's taco,4.0,3.5,3.5,2.0,3.5,4.5,3.5,3.0,4.0,6.1,scott,No,3.3
cortez mexican food,4.0,3.5,4.0,2.5,3.0,1.5,2.5,2.5,5.0,6.25,scott,No,3.2
california burrito company,4.0,3.0,2.5,2.5,3.0,4.0,3.5,2.5,5.0,6.5,scott,No,3.3
california burrito company,4.0,3.5,5.0,3.0,3.0,3.5,3.5,2.0,5.0,5.5,devleena,Yes,3.5
california burrito company,2.0,3.0,5.0,3.0,4.0,2.0,2.0,2.0,4.0,5.5,sankha g,Yes,3.5
taco villa,3.5,3.0,3.0,3.0,3.0,3.7,3.5,3.8,5.0,6.99,scott,Yes,3.5
california burrito company,3.0,3.0,4.5,3.5,1.5,1.5,2.0,3.2,4.5,6.5,scott,No,2.2
california burrito company,3.0,3.0,4.0,4.5,3.0,2.0,4.0,4.5,4.5,5.5,ricardo,No,3.5
taco villa,4.0,4.5,5.0,3.0,3.0,3.0,2.5,0.0,5.0,4.99,sage,Yes,3.0
california burritos,4.0,4.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,6.95,elynn,Yes,4.0
california burritos,4.0,3.0,3.0,3.5,4.0,4.0,3.0,3.0,3.5,7.0,hannah,Yes,5.0
taco villa,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.5,5.0,5.95,scott,Yes,3.9
taco villa,3.5,2.0,5.0,4.2,3.0,4.7,5.0,3.7,5.0,6.99,sage,Yes,4.0
taco stand encinitas,4.0,2.0,3.5,4.2,4.3,4.0,2.2,4.5,2.2,7.49,scott,Yes,4.2
taco stand encinitas,2.0,3.8,3.8,4.0,4.2,3.75,4.0,4.75,3.8,7.49,emily,Yes,4.2
donato's taco shop,4.0,3.0,4.5,3.7,2.8,5.0,4.5,3.0,4.5,5.99,scott,No,3.0
donato's taco shop,2.0,2.0,4.0,4.5,4.0,4.0,3.0,4.0,2.0,5.99,elynn,Yes,4.0
ortiz's taco shop #2,4.0,4.0,4.0,4.0,4.0,4.5,4.5,4.2,4.5,6.39,scott,Yes,4.25
ortiz's taco shop #2,4.25,2.0,4.0,3.7,2.0,4.0,4.5,4.5,5.0,6.39,sage,No,2.66
ortiz's taco shop #2,4.5,3.0,4.4,4.0,4.0,4.5,4.2,4.3,5.0,6.39,shijia,Yes,4.2
el portal fresh mexican grill,2.3,4.0,4.0,3.5,2.0,1.5,2.0,2.0,1.2,7.35,scott,No,3.1
el portal fresh mexican grill,3.75,3.5,4.0,4.0,3.0,3.75,4.0,3.0,4.5,6.7,emily,Yes,3.75
el zarape,4.0,2.5,4.0,3.75,4.0,3.75,5.0,4.0,5.0,6.25,scott,Yes,3.9
el zarape,3.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,5.0,6.25,erik,No,3.0
famoso mexican street food,3.0,2.0,2.5,3.3,3.5,1.5,4.0,2.5,3.0,10.5,scott,No,3.1
valentines mexican food,3.0,4.5,4.7,4.5,3.5,4.0,4.5,4.5,5.0,6.75,scott,Yes,4.2
valentines mexican food,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,7.9,justin k,Yes,5.0
valentines mexican food,4.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,2.0,7.9,shreejoy,Yes,4.5
valentines mexican food,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,7.9,@synapticlee,Yes,4.0
valentines mexican food,3.5,4.0,3.5,4.7,4.0,4.5,4.5,4.5,3.5,7.9,@danjlurie,Yes,4.7
cancun mexican & seafood,4.3,4.8,5.0,4.0,4.4,5.0,4.0,4.3,5.0,6.99,scott,Yes,4.5
cancun mexican & seafood,4.0,4.5,4.5,4.0,4.5,4.0,4.0,3.5,5.0,6.99,emily,Yes,4.5
los panchos taco shop,3.0,3.5,5.0,4.0,3.0,4.0,3.0,3.5,3.0,6.25,scott,Yes,3.7
los panchos taco shop,4.0,4.0,4.0,5.0,4.5,4.0,3.5,5.0,5.0,7.25,richard,Yes,4.4
los panchos taco shop,3.5,4.0,4.0,3.5,4.0,4.0,3.5,4.5,3.5,7.0,tom,Yes,3.7
pollos maria,3.5,3.5,2.5,4.0,3.5,3.0,2.5,2.5,0.5,6.99,scott,Yes,3.8
pollos maria,3.0,3.5,4.0,3.0,4.0,3.5,4.0,3.0,4.5,6.49,emily,No,3.5
el pollo loco,3.5,2.0,3.0,3.8,2.5,2.5,3.0,2.5,2.6,5.99,scott,No,3.2
gloria's taco shop,3.0,4.0,1.5,2.0,3.0,4.2,4.0,3.0,4.5,5.65,scott,No,2.7
gloria's taco shop,3.0,4.5,5.0,2.0,2.0,2.5,3.5,3.0,3.0,5.49,richard,No,2.0
mr. ruribertos taco shop,4.0,3.5,2.5,3.0,3.3,1.4,2.3,2.2,4.5,7.75,scott,No,2.9
mr. ruribertos taco shop,4.0,4.0,4.5,2.0,2.0,3.5,3.5,2.0,4.0,7.75,brent,No,3.0
los tacos,3.9,3.0,4.5,4.1,3.0,3.7,4.0,4.3,5.0,8.5,scott,Yes,3.9
los tacos,4.0,3.5,4.0,4.0,3.0,4.0,4.5,4.0,4.8,7.9,emily,Yes,3.8
taco villa,3.5,2.5,4.5,3.0,2.5,3.0,3.0,2.0,4.0,4.99,scott,No,3.0
lupe's taco shop,3.5,3.0,2.0,3.5,3.5,3.0,2.5,3.7,4.2,7.29,scott,Yes,3.7
lupe's taco shop,3.0,4.0,5.0,4.5,4.0,4.5,3.5,3.0,2.5,7.89,richard,Yes,4.25
lupe's taco shop,3.7,4.0,3.5,3.9,4.0,3.7,2.0,3.5,4.0,7.49,tom,Yes,3.9
los tacos,3.5,4.5,5.0,4.0,3.5,4.0,2.8,4.0,3.7,7.9,scott,Yes,4.2
los tacos,2.0,4.2,4.0,4.2,3.8,4.0,3.0,3.8,5.0,7.9,emily,Yes,4.2
taco villa,4.5,2.0,4.0,2.5,3.5,4.5,3.0,2.0,3.4,5.99,scott,No,3.1
taco villa,3.5,2.5,4.5,4.0,4.0,2.0,3.0,3.0,4.0,6.99,ricardo,No,3.0
rigoberto's taco shop la jolla,3.5,3.0,2.0,3.5,3.5,4.0,3.0,3.5,4.5,6.85,scott,Yes,3.6
rigoberto's taco shop la jolla,4.0,5.0,5.0,4.5,4.0,5.0,4.0,4.0,5.0,6.85,nihal,Yes,4.3
cotixan,4.5,4.0,2.0,3.0,3.8,3.5,2.0,4.0,4.0,7.19,scott,Yes,3.5
los tacos,2.5,3.0,4.5,4.3,4.0,3.0,3.1,3.9,3.0,7.9,scott,Yes,4.1
los tacos,3.0,3.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,7.9,emily,Yes,4.0
los tacos,3.0,3.5,4.0,4.0,4.0,4.5,3.5,4.0,4.0,7.9,spencer,Yes,4.0
lourdes,3.5,3.5,3.0,3.5,3.0,4.5,4.5,4.0,5.0,7.35,emily,Yes,3.75
lourdes,3.5,4.0,3.0,3.0,3.0,2.5,3.0,3.5,5.0,6.35,scott,No,3.1
california burritos,4.5,4.5,3.0,3.5,4.5,3.5,4.0,3.5,4.3,6.5,scott,Yes,4.1
california burritos,4.0,4.0,3.5,4.5,4.0,3.5,4.5,4.0,4.5,6.5,ricardo,Yes,4.0
california burritos,4.0,4.0,4.0,4.5,4.3,4.5,4.5,4.8,5.0,4.75,luis,Yes,4.5
california burritos,4.0,4.0,4.0,4.0,3.5,3.5,3.0,2.0,3.5,6.75,hannah,Yes,3.5
california burritos,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,6.5,clark,Yes,4.0
los palmitos,4.0,4.5,5.0,3.8,3.8,4.0,4.0,3.9,5.0,7.1,scott,Yes,4.3
los palmitos,3.5,3.5,4.0,4.0,3.0,3.5,4.5,3.5,5.0,8.25,emily,Yes,3.6
taco villa,4.0,2.0,4.5,4.5,3.0,3.8,4.4,2.5,3.0,5.99,scott,Yes,4.0
taco villa,4.0,4.0,4.0,4.0,3.0,4.0,3.5,2.5,5.0,5.99,richard,Yes,3.5
lupe's taco shop,3.0,3.0,4.0,3.2,3.5,1.8,1.8,3.5,3.5,10.0,scott,Yes,3.9
lupe's taco shop,4.2,3.0,4.5,3.5,3.5,2.5,2.0,3.0,4.5,10.0,ricardo,Yes,3.5
filiberto's,4.4,4.2,4.5,4.0,3.0,5.0,3.8,2.5,5.0,6.25,scott,Yes,3.7
filiberto's,3.0,4.5,4.5,3.7,3.5,4.0,3.5,3.0,4.5,6.25,emily,Yes,4.0
don carlos taco shop,5.0,3.5,4.2,3.3,3.7,4.0,4.0,2.9,5.0,7.75,scott,Yes,3.7
don carlos taco shop,2.5,4.0,4.0,2.6,3.6,4.0,4.0,3.6,4.0,7.75,luis,No,2.9
rubios ucsd,4.0,3.5,3.0,3.5,3.5,4.0,2.0,4.0,4.0,8.99,tom,Yes,3.4
rigoberto's taco shop,4.0,3.5,5.0,3.3,3.0,5.0,2.0,3.0,3.5,6.85,scott,Yes,3.9
rigoberto's taco shop,4.0,4.0,5.0,4.0,4.0,5.0,3.5,2.0,4.0,6.85,elynn,Yes,4.0
el dorado mexican food,3.3,5.0,4.0,4.2,3.5,2.9,3.0,4.0,4.0,7.4,scott,Yes,4.0
el dorado mexican food,3.5,4.5,4.0,4.0,3.5,3.0,3.0,2.5,3.8,7.4,emily,Yes,3.8
los tacos 2,4.2,3.5,5.0,3.0,1.5,3.0,2.5,3.0,2.5,9.95,scott,No,2.8
roberto's taco shop hillcrest,3.5,4.0,4.0,2.0,2.5,4.5,4.0,3.0,4.5,7.0,scott,No,2.8
roberto's taco shop hillcrest,3.0,3.5,4.0,4.0,4.0,4.5,4.5,2.0,4.0,9.0,richard,Yes,4.0
roberto's taco shop hillcrest,3.5,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,7.0,tom,No,2.2
burros and fries,4.0,3.0,4.0,4.0,2.5,2.5,3.0,3.0,5.0,6.99,emily,No,3.0
burros and fries,3.5,3.5,4.5,3.5,3.5,3.0,3.5,4.0,5.0,7.19,scott,Yes,3.8
cotixan,4.3,3.0,3.0,3.5,3.5,3.5,3.5,3.8,5.0,6.9,scott,Yes,3.7
vallarta express,3.0,3.0,2.5,3.0,3.0,3.5,2.8,3.5,1.5,8.55,scott,No,3.0
vallarta express,2.5,3.0,2.0,3.5,3.0,3.0,4.0,3.0,4.5,7.8,emily,Yes,3.5
caliente mexican food,2.5,2.5,3.0,2.5,3.5,4.5,4.5,3.7,4.5,5.56,scott,Yes,3.5
caliente mexican food,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,5.56,chris g,Yes,4.0
caliente mexican food,4.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,6.47,erik k,No,2.0
taco villa,3.0,3.0,4.5,2.0,3.0,2.5,4.0,2.0,4.0,6.99,richard,No,2.0
los tacos 2,3.8,4.0,4.5,3.0,4.0,3.0,2.5,3.5,3.0,8.5,scott,Yes,4.0
los tacos 2,4.0,4.0,4.0,3.75,4.0,3.5,3.5,4.0,3.5,8.5,emily,Yes,4.0
valentines mexican food,4.0,4.0,4.5,3.5,3.5,4.5,4.5,3.0,4.0,6.75,scott,Yes,3.9
vallarta express,4.5,3.0,3.0,4.0,3.0,4.0,2.5,4.0,4.0,8.35,scott,Yes,4.1
lalo's tacos,3.0,3.75,5.0,3.0,3.5,5.0,5.0,2.0,2.8,7.75,daniel a,No,2.8
roberto's taco shop hillcrest,4.0,4.5,5.0,4.0,4.0,4.0,3.7,3.8,4.8,7.0,simon,Yes,4.2
kotija jr,4.0,4.0,5.0,3.5,3.8,3.0,2.5,3.3,5.0,6.99,scott,Yes,3.7
kotija jr,3.0,3.5,5.0,4.0,4.0,4.5,4.75,3.75,5.0,7.1,emily,Yes,4.2
el rey moro,4.0,3.0,3.0,2.0,2.5,1.5,2.5,2.5,5.0,6.47,scott,No,3.2
el rey moro,3.5,2.5,3.5,3.5,3.5,3.5,4.0,3.0,4.5,8.94,emily,Yes,3.8
taco villa,2.0,2.0,2.5,4.0,3.0,4.0,3.5,3.0,5.0,5.99,scott,Yes,3.8
taco villa,3.5,4.0,4.0,4.0,4.5,4.0,3.5,4.0,4.0,6.99,nuttida,Yes,4.3
los tacos,3.5,3.5,4.0,4.5,4.0,3.0,4.0,3.5,5.0,8.5,scott,Yes,4.3
los tacos,3.5,4.0,4.0,4.0,4.5,4.2,4.5,4.0,4.8,8.5,emily,Yes,4.5
rigoberto's taco shop,3.5,3.0,4.5,3.8,3.8,4.0,3.5,3.5,3.0,6.85,scott,Yes,4.1
rigoberto's taco shop,3.5,3.0,4.5,4.0,4.0,4.5,3.0,4.0,3.5,6.85,sage,Yes,4.25
taco stand,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.5,4.5,7.89,scott,Yes,4.2
taco stand,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,7.89,ben s,Yes,4.5
lolita's taco shop,4.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,7.25,ben s,Yes,3.5
los tacos 2,4.0,4.0,4.0,3.0,3.5,1.0,2.0,3.0,1.0,8.5,scott,No,3.0
rigoberto's taco shop,3.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,7.2,han mee,Yes,4.0
taco villa,3.0,3.5,5.0,4.3,3.5,5.0,4.0,3.0,2.0,5.99,scott,Yes,4.1
taco villa,3.5,4.0,4.5,5.0,4.5,5.0,4.0,4.0,4.0,5.99,nuttida,Yes,4.0
taco villa,2.0,2.0,3.5,4.5,4.0,4.0,2.0,3.0,2.0,5.99,elynn,Yes,3.5
mikes taco club,4.0,4.5,4.5,4.0,4.0,3.0,4.0,3.5,3.0,8.99,scott,Yes,4.2
taco villa,3.5,4.0,4.5,3.5,3.0,4.5,3.0,3.0,2.5,5.99,scott,Yes,3.6
el zarape,4.0,4.0,4.0,3.5,4.2,4.5,4.3,3.0,4.5,7.5,tom,Yes,3.8
taco villa,3.0,2.0,5.0,4.5,3.5,4.5,4.5,2.5,1.5,5.99,scott,Yes,4.0
taco villa,5.0,4.0,4.5,3.5,4.0,4.0,3.5,4.0,3.5,5.99,nuttida,Yes,4.0
lucha libre carlsbad,3.2,3.8,4.0,4.0,4.0,3.8,3.4,4.3,5.0,8.5,scott,Yes,4.1
lucha libre carlsbad,3.0,3.5,3.0,3.8,4.0,3.8,4.5,4.5,5.0,9.5,emily,Yes,3.9
lucha libre carlsbad,3.2,3.5,1.0,3.0,3.0,3.4,4.0,4.5,4.0,8.5,scott,No,3.1
lucha libre carlsbad,3.0,3.0,2.5,3.5,3.0,1.0,1.0,4.0,5.0,8.5,emily,No,1.5
taco villa,4.0,3.5,3.0,3.2,3.2,3.2,4.0,3.0,4.5,6.99,scott,No,3.2
taco villa,3.5,2.5,3.0,4.0,3.5,2.5,2.5,3.3,4.0,5.99,scott,Yes,3.7
tony's fresh mexican food,4.0,5.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,9.99,mike,Yes,4.0
tony's fresh mexican food,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,7.39,nick g.,Yes,4.0
tony's fresh mexican food,4.5,3.5,4.5,4.0,3.5,2.0,1.0,3.5,4.0,7.39,ricardo,Yes,3.5
